provincia_id,productor,familiar,trabajador,residente,sin_discriminar
6,22765,38360,41639,48208,165.0
10,6234,19923,1253,931,
14,15024,35781,18151,27089,17.0
18,10504,35129,8890,10972,108.0
22,13683,47198,4485,10608,
26,2856,4252,2253,849,
30,13425,33055,8206,13799,65.0
34,8235,25162,2436,1811,
38,6685,19695,3912,8619,
42,3415,5753,4342,3171,
46,5046,15267,1268,1935,
50,14536,43349,19630,63685,90.0
54,21976,80941,3600,8237,
58,3666,9790,1657,1862,
62,4825,8594,4628,6342,29.0
66,7392,23224,4809,11986,514.0
70,2801,9556,3796,15625,49.0
74,2741,5713,2286,2189,
78,391,344,1468,183,
82,10467,24811,16464,30339,25.0
86,18427,71887,2929,3303,1.0
90,7273,32085,2649,7003,577.0
94,56,78,329,114,
