cod_pais;nom_pais;año;producto;destino;uni_med;nom_med;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre ;noviembre;diciembre
32;Argentina;1950;grano de girasol;industria aceitera;t;tonelada;71289;62960;77359;78555;86913;84099;87610;92316;81743;58277;64061;57181
32;Argentina;1951;grano de girasol;industria aceitera;t;tonelada;48543;39518;26324;55144;83165;96213;97371;90263;76319;90073;86054;69621
32;Argentina;1952;grano de girasol;industria aceitera;t;tonelada;69859;65994;51217;66038;93746;82033;74787;87976;90796;78526;50253;24648
32;Argentina;1953;grano de girasol;industria aceitera;t;tonelada;8865;4159;2362;1618;565;37370;55247;52040;48474;47303;27995;15061
32;Argentina;1954;grano de girasol;industria aceitera;t;tonelada;10635;9777;3015;2516;1697;11825;22728;35804;39503;27925;27703;12176
32;Argentina;1955;grano de girasol;industria aceitera;t;tonelada;10652;11034;9916;11379;1033;22758;35345;41307;28608;28270;22116;16385
32;Argentina;1956;grano de girasol;industria aceitera;t;tonelada;6702;8897;12818;84063;94667;99103;85167;79090;58797;41519;44026;33301
32;Argentina;1957;grano de girasol;industria aceitera;t;tonelada;26589;15560;19725;62799;83932;78794;73377;62393;58516;50736;50072;31850
32;Argentina;1958;grano de girasol;industria aceitera;t;tonelada;14606;18751;24447;62607;75310;80619;77427;78866;62160;67450;74704;65064
32;Argentina;1959;grano de girasol;industria aceitera;t;tonelada;53251;44139;33793;51782;59283;55227;71893;44859;36777;25630;17955;22493
32;Argentina;1960;grano de girasol;industria aceitera;t;tonelada;17391;32464;21113;55217;71225;78433;69687;68888;80244;63155;73807;59535
32;Argentina;1961;grano de girasol;industria aceitera;t;tonelada;31757;26834;60419;80853;76533;63037;64581;43798;42357;36540;27624;18389
32;Argentina;1962;grano de girasol;industria aceitera;t;tonelada;9465;11791;46703;76961;71330;73197;70413;55266;58831;56988;63623;77768
32;Argentina;1963;grano de girasol;industria aceitera;t;tonelada;64995;64506;63540;69739;66014;64133;50754;51102;31991;26372;30802;15754
32;Argentina;1964;grano de girasol;industria aceitera;t;tonelada;4914;9029;15173;73046;74580;66781;55353;46189;34967;25126;14493;11949
32;Argentina;1965;grano de girasol;industria aceitera;t;tonelada;10411;22278;62935;93652;92165;97788;96520;98786;85247;67458;82893;77424
32;Argentina;1966;grano de girasol;industria aceitera;t;tonelada;49888;72560;90246;103790;112756;95477;101011;96994;83979;47077;32571;22407
32;Argentina;1967;grano de girasol;industria aceitera;t;tonelada;16680;43834;86213;122684;124223;120939;118530;112258;114955;71055;96179;91770
32;Argentina;1968;grano de girasol;industria aceitera;t;tonelada;77251;90991;88788;117988;113206;107639;96825;77160;84651;56638;48573;33677
32;Argentina;1969;grano de girasol;industria aceitera;t;tonelada;32032;38103;82811;108407;96264;93198;90823;82859;85671;74838;66984;47064
32;Argentina;1970;grano de girasol;industria aceitera;t;tonelada;55525;54950;119309;141682;134756;121008;119182;97121;86853;74493;77332;74289
32;Argentina;1971;grano de girasol;industria aceitera;t;tonelada;79099;73232;98982;112713;99838;104045;85014;67996;62768;62418;52741;56043
32;Argentina;1972;grano de girasol;industria aceitera;t;tonelada;69178;70529;85557;87417;80036;90689;88633;65792;71533;63022;62019;60408
32;Argentina;1973;grano de girasol;industria aceitera;t;tonelada;84724;113580;95850;115997;120298;101783;102789;96203;56219;57461;71261;48225
32;Argentina;1974;grano de girasol;industria aceitera;t;tonelada;49151;49507;66937;119525;123587;102851;90741;87767;90566;89022;75461;51481
32;Argentina;1975;grano de girasol;industria aceitera;t;tonelada;25520;50951;80157;91819;78999;83188;47583;45457;53912;33199;24542;18328
32;Argentina;1976;grano de girasol;industria aceitera;t;tonelada;18192;28766;90435;78838;105487;98188;76341;69074;99201;71281;67950;68443
32;Argentina;1977;grano de girasol;industria aceitera;t;tonelada;55145;63473;88859;129494;128342;121879;99583;87543;77019;45258;52714;53886
32;Argentina;1978;grano de girasol;industria aceitera;t;tonelada;114157;89385;136465;145071;153708;145598;141456;99011;89431;70759;53691;32553
32;Argentina;1979;grano de girasol;industria aceitera;t;tonelada;55008;66970;118258;170616;150670;133830;131774;132582;130391;110191;94669;67416
32;Argentina;1980;grano de girasol;industria aceitera;t;tonelada;100622;137928;202663;195277;201789;184452;176023;166307;122163;90746;91702;50726
32;Argentina;1981;grano de girasol;industria aceitera;t;tonelada;46126;56299;141039;158108;193586;177176;132088;84725;72814;24160;15443;13569
32;Argentina;1982;grano de girasol;industria aceitera;t;tonelada;73019;101079;204476;264862;277453;199264;157455;102672;83029;81064;88469;135203
32;Argentina;1983;grano de girasol;industria aceitera;t;tonelada;116283;134307;308514;308530;312486;267586;211153;174303;134402;107782;151442;91206
32;Argentina;1984;grano de girasol;industria aceitera;t;tonelada;120373;131703;291804;324856;229765;192433;161542;136582;148668;123132;76353;102007
32;Argentina;1985;grano de girasol;industria aceitera;t;tonelada;102847;174211;373750;392145;337850;318771;337686;305104;256953;110935;143218;54176
32;Argentina;1986;grano de girasol;industria aceitera;t;tonelada;217794;293318;471867;457112;388410;326695;280634;307325;274782;204489;153896;133227
32;Argentina;1987;grano de girasol;industria aceitera;t;tonelada;220837;265403;324646;313086;212586;124106;199985;148231;163209;129619;122265;41677
32;Argentina;1988;grano de girasol;industria aceitera;t;tonelada;195550;293125;455872;431065;343915;196285;210242;158437;115988;116497;129410;74386
32;Argentina;1989;grano de girasol;industria aceitera;t;tonelada;100630;215254;451807;415448;380281;226769;246477;290818;253159;190601;171378;172505
32;Argentina;1990;grano de girasol;industria aceitera;t;tonelada;309053;346814;506335;467772;395648;288979;283460;265969;176636;170191;144220;155561
32;Argentina;1991;grano de girasol;industria aceitera;t;tonelada;237695;311627;500099;556454;426946;384155;347366;298592;251870;141719;210233;110547
32;Argentina;1992;grano de girasol;industria aceitera;t;tonelada;232398;324822;494862;503390;380514;302269;303357;270666;241771;179663;177091;155553
32;Argentina;1993;grano de girasol;industria aceitera;t;tonelada;180863;288323;487179;405513;365678;266697;199080;189738;187394;132675;132498;94445
32;Argentina;1994;grano de girasol;industria aceitera;t;tonelada;116191;151579;449810;493393;432952;277142;313411;263798;238232;302370;182923;131236
32;Argentina;1995;grano de girasol;industria aceitera;t;tonelada;152262;296323;664903;573203;536068;498207;470079;398724;362556;423397;300520;268544
32;Argentina;1996;grano de girasol;industria aceitera;t;tonelada;207623;294498;720321;693055;584447;368594;437398;340876;354148;416808;365813;259733
32;Argentina;1997;grano de girasol;industria aceitera;t;tonelada;159665;421711;759530;639215;555987;486151;393638;490330;459265;501175;372785;221388
32;Argentina;1998;grano de girasol;industria aceitera;t;tonelada;163693;295165;822151;664661;589933;554382;520542;405934;396330;395045;269170;83195
32;Argentina;1999;grano de girasol;industria aceitera;t;tonelada;230580;459254;870991;763339;630913;538975;623961;461216;492436;453236;371681;187153
32;Argentina;2000;grano de girasol;industria aceitera;t;tonelada;340035;461190;778651;575171;431995;418152;345889;417682;371443;393554;344902;270710
32;Argentina;2001;grano de girasol;industria aceitera;t;tonelada;201699;274807;490321;305416;240620;223591;231665;242368;276361;234161;196486;218808
32;Argentina;2002;grano de girasol;industria aceitera;t;tonelada;103439;178447;469520;391546;361368;277939;290656;186508;184710;187402;207683;149364
32;Argentina;2003;grano de girasol;industria aceitera;t;tonelada;390842;298069;503306;331022;232394;283543;236055;222147;182658;215374;221274;169569
32;Argentina;2004;grano de girasol;industria aceitera;t;tonelada;193184;239109;416807;281895;193537;208058;248730;247761;198596;240933;231105;142763
32;Argentina;2005;grano de girasol;industria aceitera;t;tonelada;213898;235302;551689;343878;264859;376105;332407;332116;262481;225971;221549;203007
32;Argentina;2006;grano de girasol;industria aceitera;t;tonelada;269243;341563;558842;426113;333815;386116;287409;347549;246494;259761;108733;189188
32;Argentina;2007;grano de girasol;industria aceitera;t;tonelada;269363;290873;521222;338808;256293;263691;322488;256753;192318;185343;120010;43115
32;Argentina;2008;grano de girasol;industria aceitera;t;tonelada;239943;255468;518799;550804;470001;307556;410738;370998;340442;297314;200146;249089
32;Argentina;2009;grano de girasol;industria aceitera;t;tonelada;216789;327550;493931;318734;348345;327368;304982;261986;273892;269833;178424;141519
32;Argentina;2010;grano de girasol;industria aceitera;t;tonelada;113919;263541;456603;320939;229986;212444;202739;227116;207818;207474;131252;176645
32;Argentina;2011;grano de girasol;industria aceitera;t;tonelada;178855;217551;533247;317841;268969;394710;314022;352337;291454;248004;184067;246870
32;Argentina;2012;grano de girasol;industria aceitera;t;tonelada;223809;305017;566194;480075;265901;369914;332219;295084;233503;260610;189350;154272
32;Argentina;2013;grano de girasol;industria aceitera;t;tonelada;331824;276254;411044;284528;202431;213761;176382;155861;190218;201893;58460;81755
32;Argentina;2014;grano de girasol;industria aceitera;t;tonelada;180816;186811;320204;278019;185215;243046;139863;145759;120788;201357;104469;110244
32;Argentina;2015;grano de girasol;industria aceitera;t;tonelada;195625;166264;428639;345134;95740;245595;283996;265382;191515;123299;129438;159681
32;Argentina;2016;grano de girasol;industria aceitera;t;tonelada;201256;278630;411584;387656;217533;309359;222617;232073;122460;129406;93321;139675
32;Argentina;2017;grano de girasol;industria aceitera;t;tonelada;308973;203940;416095;433761;315786;251376;317867;300018;208876;183022;107100;108423
32;Argentina;2018;grano de girasol;industria aceitera;t;tonelada;230120;196603;393438;385240;350644;262816;231961;246767;264204;;;
