anio,provincia,provincia_id,EAP_con_limites,hectareas
2002,Buenos Aires,06,51107,25788669.5
2002,Catamarca,10,6694,1588805.7
2002,Córdoba,14,25620,12244257.8
2002,Corrientes,18,14673,6860573
2002,Chaco,22,15694,5899731.8
2002,Chubut,26,3574,19205261.2
2002,Entre Ríos,30,21577,6351512.6
2002,Formosa,34,8994,5178607.1
2002,Jujuy,38,4061,1282062.5
2002,La Pampa,42,7774,12735009
2002,La Rioja,46,5852,3069497
2002,Mendoza,50,28329,6422130.3
2002,Misiones,54,27072,2067804.8
2002,Neuquén,58,2198,2145699.7
2002,Río Negro,62,7035,14716469.7
2002,Salta,66,5575,4269499.2
2002,San Juan,70,7927,756224.6
2002,San Luis,74,4216,5388387.6
2002,Santa Cruz,78,944,19884210.2
2002,Santa Fe,82,28034,11251653.2
2002,Santiago del Estero,86,10830,5393633.3
2002,Tierra del Fuego,94,90,1171747.1
2002,Tucumán,90,9555,1137117.2
